date,time,input_text
2025-05-18,00:00:00,date:2025-05-18 time:00:00:00 bpm:68 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:01:00,date:2025-05-18 time:00:01:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:02:00,date:2025-05-18 time:00:02:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:03:00,date:2025-05-18 time:00:03:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:04:00,date:2025-05-18 time:00:04:00 bpm:85 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:05:00,date:2025-05-18 time:00:05:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:06:00,date:2025-05-18 time:00:06:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:07:00,date:2025-05-18 time:00:07:00 bpm:68 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:08:00,date:2025-05-18 time:00:08:00 bpm:69 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:09:00,date:2025-05-18 time:00:09:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:10:00,date:2025-05-18 time:00:10:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:11:00,date:2025-05-18 time:00:11:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:12:00,date:2025-05-18 time:00:12:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:13:00,date:2025-05-18 time:00:13:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:14:00,date:2025-05-18 time:00:14:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:15:00,date:2025-05-18 time:00:15:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:16:00,date:2025-05-18 time:00:16:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:17:00,date:2025-05-18 time:00:17:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:18:00,date:2025-05-18 time:00:18:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:19:00,date:2025-05-18 time:00:19:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:20:00,date:2025-05-18 time:00:20:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:21:00,date:2025-05-18 time:00:21:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:22:00,date:2025-05-18 time:00:22:00 bpm:72 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:23:00,date:2025-05-18 time:00:23:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:24:00,date:2025-05-18 time:00:24:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:25:00,date:2025-05-18 time:00:25:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:26:00,date:2025-05-18 time:00:26:00 bpm:82 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:27:00,date:2025-05-18 time:00:27:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:28:00,date:2025-05-18 time:00:28:00 bpm:80 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:29:00,date:2025-05-18 time:00:29:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:30:00,date:2025-05-18 time:00:30:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:31:00,date:2025-05-18 time:00:31:00 bpm:85 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:32:00,date:2025-05-18 time:00:32:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:33:00,date:2025-05-18 time:00:33:00 bpm:84 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:34:00,date:2025-05-18 time:00:34:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:35:00,date:2025-05-18 time:00:35:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:36:00,date:2025-05-18 time:00:36:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:37:00,date:2025-05-18 time:00:37:00 bpm:73 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:38:00,date:2025-05-18 time:00:38:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:39:00,date:2025-05-18 time:00:39:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:40:00,date:2025-05-18 time:00:40:00 bpm:81 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:41:00,date:2025-05-18 time:00:41:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:42:00,date:2025-05-18 time:00:42:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:43:00,date:2025-05-18 time:00:43:00 bpm:78 steps:15 cal:2 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:44:00,date:2025-05-18 time:00:44:00 bpm:78 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:45:00,date:2025-05-18 time:00:45:00 bpm:87 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:46:00,date:2025-05-18 time:00:46:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:47:00,date:2025-05-18 time:00:47:00 bpm:89 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:48:00,date:2025-05-18 time:00:48:00 bpm:91 steps:39 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:49:00,date:2025-05-18 time:00:49:00 bpm:90 steps:27 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:50:00,date:2025-05-18 time:00:50:00 bpm:89 steps:30 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:51:00,date:2025-05-18 time:00:51:00 bpm:86 steps:28 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:52:00,date:2025-05-18 time:00:52:00 bpm:87 steps:34 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:53:00,date:2025-05-18 time:00:53:00 bpm:88 steps:39 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:54:00,date:2025-05-18 time:00:54:00 bpm:88 steps:77 cal:5 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:55:00,date:2025-05-18 time:00:55:00 bpm:87 steps:62 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:56:00,date:2025-05-18 time:00:56:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:57:00,date:2025-05-18 time:00:57:00 bpm:88 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:58:00,date:2025-05-18 time:00:58:00 bpm:89 steps:43 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,00:59:00,date:2025-05-18 time:00:59:00 bpm:87 steps:103 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:00:00,date:2025-05-18 time:01:00:00 bpm:87 steps:102 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:01:00,date:2025-05-18 time:01:01:00 bpm:87 steps:106 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:02:00,date:2025-05-18 time:01:02:00 bpm:87 steps:111 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:03:00,date:2025-05-18 time:01:03:00 bpm:87 steps:100 cal:6 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:04:00,date:2025-05-18 time:01:04:00 bpm:92 steps:72 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:05:00,date:2025-05-18 time:01:05:00 bpm:93 steps:51 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:06:00,date:2025-05-18 time:01:06:00 bpm:91 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:07:00,date:2025-05-18 time:01:07:00 bpm:95 steps:25 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:08:00,date:2025-05-18 time:01:08:00 bpm:92 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:09:00,date:2025-05-18 time:01:09:00 bpm:97 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:10:00,date:2025-05-18 time:01:10:00 bpm:101 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:11:00,date:2025-05-18 time:01:11:00 bpm:101 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:12:00,date:2025-05-18 time:01:12:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:13:00,date:2025-05-18 time:01:13:00 bpm:96 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:14:00,date:2025-05-18 time:01:14:00 bpm:98 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:15:00,date:2025-05-18 time:01:15:00 bpm:100 steps:21 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:16:00,date:2025-05-18 time:01:16:00 bpm:102 steps:36 cal:4 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
2025-05-18,01:17:00,date:2025-05-18 time:01:17:00 bpm:103 steps:16 cal:3 sedentary:0 asleep:467 eff:95 rem:83 deep:55 wake:78
