input_text,music_prompt
date:2025-05-18 time:00:00:00 bpm:68 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal melodies with soft echoes
date:2025-05-18 time:00:01:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft nocturnal harmonies with gentle echoes
date:2025-05-18 time:00:02:00 bpm:86 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullaby with soothing harmonies
date:2025-05-18 time:00:03:00 bpm:83 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle nocturnal rhythms with soothing echoes
date:2025-05-18 time:00:04:00 bpm:85 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft lullaby strings with gentle harmonies
date:2025-05-18 time:00:05:00 bpm:79 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Soft lullabies with gentle ocean waves
date:2025-05-18 time:00:06:00 bpm:76 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Gentle lullabies with soft, dreamy echoes"
date:2025-05-18 time:00:07:00 bpm:68 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Ethereal synth waves with gentle echoes
date:2025-05-18 time:00:08:00 bpm:69 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient melodies with soft harmonies
date:2025-05-18 time:00:09:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Soft, dreamy synths with gentle waves"
date:2025-05-18 time:00:10:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle lullabies with ethereal echoes
date:2025-05-18 time:00:11:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night harmonies with soft waves
date:2025-05-18 time:00:12:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soothing undertones
date:2025-05-18 time:00:13:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle harmonics with soft dreamscapes
date:2025-05-18 time:00:14:00 bpm:75 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,"Soft, ethereal waves with gentle flow"
date:2025-05-18 time:00:15:00 bpm:74 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle piano with soothing night echoes
date:2025-05-18 time:00:16:00 bpm:71 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle night harmonies with soft whispers
date:2025-05-18 time:00:17:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle ambient waves with soothing harmonies
date:2025-05-18 time:00:18:00 bpm:77 steps:0 cal:1 sedentary:1 asleep:467 eff:95 rem:83 deep:55 wake:78,Gentle synth waves with soft echoes
